,댓글,출처
75229,진짜 악마를보았다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75230,저게 통하는게 더 이상함,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75231,포즈잡고 사진찍은거지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75232,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 얼마나 국민을 씹개돼지로 보면 또 쇼하고 자빠졌냐근데 개돼지 맞음,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75234,할매를 지 돈줄로 이용해먹을 생각만 하는게 딱 보인다 사탄마귀가 있는지 가죽을 벗겨보자,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75235,숙주에 대한 아쉬움,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75236,또 미향이이년이,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75237,저정돈 해줘야 좌파하는거야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75238,선상님에서 개씹 소름돋음,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75239,죽은위안부영정사진옆에놓고 컨셉샷찍고 고위안부님과함께있습니다 머단헤,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75240,이런건 뭘로 합성하는거냐요즘 포샵 연습중인데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75242,Go to Ilbe,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75244,이 새끼가 존나 무서운게핑클에서 이진이 젤 못생겼다고 생각했는데요즘 이진이 제일 이뻐보임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75245,옥주현보다 못생겼다 생각함,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75246,예전엔 옥주현보다 못생겼다고 생각함옥주현은 노래나 잘했지 쟤는 뭐지 이런 생각함낙하산 이었다고 생각했는데저 시발새끼 때문에 요즘 존나 이뻐 보이네 세뇌당한듯 개시발 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75247,bbw 인기많잖아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75248,시발 사람 생각하는거 다똑같노ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75249,네임드화 차단점,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75250,와 퀼 ㅆㅅㅌㅊ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75251,딥러닝 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75252,뭐하는 새끼냐 ㅋㅋㅋ재능을 이런데다 쓰노 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75253,짱개앱으로 만든겨ㅋ 너 같은 개발도 만들수 있음ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75254,이 게이 야동도 커스터마이징 하겟노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75255,어이가없네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75256,이게 그 머신러닝인가 러닝머신인가 하는 그거냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75258,간만에 일베줌 ㅆㅆㅆㅅㅌㅊ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75259,이질감 없노 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75260,All 무현 가운데 아이만 인줄 ㅅㅂ 다 무현,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75261,ㅋㅋㅋㅋㅋㄹㅇ 죤나 위화감없네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75262,잊지 않겠습니다기억 하겠습니다재수사 하겠습니다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75263,다이노마이트 이랬으면 500베,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75264,와우 ㅇㅂ 진심 잘 만들었다 이기,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75265,운지노마이트 이랬으면 600베,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75266,이거 딥러닝이노 다메다메 같이 한 건가,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75267,그립노 ㅠㅠ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75268,어떻게 만드는거노아는 게이 제발 트 좀 주라 ㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75269,어플이다 써있는데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75270,엇 감사 MC무현에 팔려 위에 reface app 라는걸 못봤네찾아보니 중국 앱이라 말들도 많고 깔지 말아야겠다감사,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75271,잘 어울리노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75272,진짜 이런건 어떻게 만드는거냐ㄷㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75273,동영상은 우애 올리는거노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75276,리페이스 어플 유료다 이기,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75277,씨발 이런거 어떻게 만드는거냐 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75278,먼가잘어울리는 노쨩,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75279,아 어플이구나 ㅈㄴ 잘만드네 그래도,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75280,ㅋㅋㅋㅋㅋ 신선하다 어플이뭐냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75281,무혀니 꾸준글 존나 웃기노ㅋㅋㅋ 저거 짤에 써있는 앱쓰면 저리되는거냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75282,ㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋ die노마이트잼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75284,노무쿤 꾸미니까 존잘이노 이기,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75285,나도 아이디어는 있는데 못만들겠는 ㅋ 문재인가지고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75286,다시보고 느끼는건데 bts가 잘생기긴했나보다 느낌이 확다르다 ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75287,노인네 욕심도 많네 ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75288,노무현 가족들도 좋아하겠노ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75289,플라나리아 무현,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75290,진짜살아있구나 무현이,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75291,ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75293,합성퀄리티 뭐노 이게 ㄷㄷㄷㄷㄷㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75294,합성이 아니고 딥페이크라고 딥러닝방식으로 얼굴 바꾸는건데저걸로 좋아하는 연예인들 포르노 배우들 조합해서 마니 쓴다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75296,역대급 웃겼다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75297,ㅋㅋㅋㅋ노무현을 진정으로 사랑하는 곳은 일베인것 같다 노사모 따위 보다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75298,얼탱이가 없어서 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75299,ㅋㅋㅋㅋ 그냥 퀄도 괜찮은데보고있으니 그냥 웃음이 난다ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75301,ㅋㅋㅋㅋㅋㅋㅋ 존나웃기네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75302,노짱욕하지마라 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
